SMILES,nN.1,nBr,ATS3m,ATS5m,ATS4e,AATSm,AATS1m,AATS2m,AATS3m,AATSv,AATS1v,AATS3v,AATS3e,AATS6e,AATSp,AATS2p,AATS3i,AATS6i,AATS4s,AATS6s,ATSC8c,ATSCm,ATSC4m,ATSC7m,ATSC2v,ATSC5e,ATSC2p,ATSC4p,ATSC1i,ATSC2i,ATSC5i,ATSC6i,ATSC7i,ATSC8i,ATSC1s,ATSC4s,ATSC6s,AATSCc,AATSC4c,AATSC5c,AATSCm,AATSCv,AATSC6v,AATSCp,AATSC1p,AATSC2p,AATSC4p,AATSC1s,AATSC3s,AATSC4s,AATSC5s,AATSC6s,MATS4c,MATS2v,MATS4e,MATS6e,MATS2p,MATS1i,MATS2i,MATS6s,GATS8m,GATS2v,GATS2p,GATS7p,GATS4s,SM1_DzZ,BCUTw-1h,BCUTp-1h,bpol,SpMax1_Bhm,SpMax4_Bhm,SpMin1_Bhm,SpMin4_Bhm,SpMin1_Bhv,SpMax2_Bhi,SpMin1_Bhs,C1SP2,SCH-5,VCH-6,VP-7,Mse,Mpe,Mp,VR3_Dt,nHBint2,nHsOH,nsssN,SHBd,SHBint4,SHBint5,SaasC,minHssNH,minHCsats,minsCH3,minssCH2,maxsssCH,maxssssC,ETA_Epsilon_5,ETA_BetaP_ns_d,IC1,MIC1,MIC4,ZMIC3,ZMIC4,khs.sssN,khs.aasN,MDEC-13,RotBFrac,GGI3,JGI8,MWC4,AMW,WTPT-5,Flammability
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,,,6885.159416,6838.291349,558.96588,12.9273967,133.4262334,17.3783544,88.27127457,251.36589,292.249199,2.97746,7.8361,8.283736182,1.91129199,1.8457291,154.78965,151.8446973,3.839774557,4.195987654,0.117668,1793.564663,-26.87567144,-188.5842,-685.4895518,-3.3191127,-0.87687319,-3.651868963,-1.11631617,-1.143438,22.37865647,21.82685692,3.436544976,-25.8428113,-17.9983847,14.9173944,-3.28213865,0.1514275,0.2246936,0.162,47.19978,51.4183195,0.213638182,0.38776397,-0.12494872,-0.13918622,-0.52925637,-0.449959617,-0.8631523,0.216194122,-0.366512467,-0.45882283,0.14965336,-0.21161335,-0.1231569,-0.45337731,-0.3589494,-0.17629452,-0.111794556,-0.361956985,0.74925244,1.5277682,0.921475629,0.6927699,1.416731682,1.6,3.97376285,7.883651,3.58415,4.44926667,3.67989241,1.939668,1.822532,1.953357896,3.8375831,1.89184279,,,0.9622545,0.35833647,1.1455399,0.978844169,0.73946565,34.964731,,,,,,,1.384314,,,,,,,0.82464,0.6522,1.913282964,21.467928,31.3363836,53.2688535,51.29197,,,,0.24,1.6875,0.431242,6.421622268,8.588141,,1
C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3,,,452.618833,3285.91868,488.488692,81.593966,89.84651918,75.7382524,57.7913849,251.8273954,296.372784,211.6799743,7.21313972,7.15567467,1.763274396,1.921975,148.332414,152.467175,2.31457516,2.222222222,-0.6888629,953.394829,-164.57416,-36.88729962,-43.979398,0.1574891,-1.926358983,-1.3681812,2.9282514,-1.4641257,0.36337171,-5.552333199,-1.66569996,-3.929343495,-0.596354167,-0.928819444,-0.626736111,0.3161467,-0.146,7.59E-01,29.79358815,55.424494,-3.8175488,0.247674726,0.11331523,-0.35673314,-0.2119235,-0.17539828,-0.1619963,-0.1365919,0.3745994,-0.144562,-0.46127475,-0.14432922,-0.81232493,-0.6878369,-0.14432922,0.45751634,-0.14432922,-0.4797195,1.82539683,1.2576132,1.2576132,1.2349263,1.63313,7.11E-01,12.1523662,1.18963345,15.34898,4.23382853,2.94265991,2.137614259,1.191971791,2.11867451,3.877195925,2.13542715,,,0.9192788,0.45179349,0.975464312,0.9399598,0.737183795,27.36328538,,,,,,,5.41174414,,,,,,,0.7,,1.418564443,11.28725184,28.591662,37.6314652,31.98345859,,,,0.1,0.625,0.431242,6.24557763,7.19923452,,1
C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3,,,4173.684842,397.338648,49.156512,81.593966,89.84651918,75.7382524,58.78429355,251.8273954,296.372784,214.85783,7.21648,7.156825,1.763274396,1.921975,148.47242,151.8396839,2.36274598,2.2873737,0.237382,953.394829,-73.77459923,-91.74533495,-43.979398,-0.33628547,-1.926358983,-0.613289799,2.9282514,-1.4641257,-7.751911351,-16.91326113,-4.142894772,4.954389624,-0.48524356,0.598958333,-2.371527778,0.3191395,0.164,8.36E-01,29.79358815,55.424494,-9.673443546,0.247674726,0.11331523,-0.35673314,-0.918968,-0.14271855,0.191164,0.888211,0.1339825,-0.32937886,0.51298879,-0.14432922,-0.36414566,-0.17463175,-0.14432922,0.45751634,-0.14432922,-0.14851546,0.984126984,1.2576132,1.2576132,1.7936579,0.84931568,-5.68E-01,12.1523662,1.978675,15.34898,4.47581569,2.895491245,2.1539545,1.183217874,2.132878689,3.84119321,2.1578131,,,0.9192788,0.458653793,0.975464312,0.9399598,0.737183795,9.568674,,,,,,,5.85653817,,,,,,,0.7,,1.418564443,11.28725184,26.96418789,41.184231,34.71691719,,,,0.1,1,0.862484,6.224558429,7.19923452,,1
C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,2,,3189.4565,241.5844,488.19554,78.69139886,84.4573657,71.23436,51.4362216,221.6386376,268.8829417,19.58589,7.368937419,7.37388632,1.54828554,1.725379212,152.786635,156.167349,2.1225492,2.64912287,-0.59276538,926.5127614,-11.8454835,316.544691,-127.981189,0.2995725,-0.7736943,-0.65364296,14.71527739,-8.2812955,5.851274243,-5.7467582,-8.897385325,-13.1394626,-6.269322235,-3.315827718,-6.79937946,0.147337,-0.556,0.119548,31.94871591,52.8315211,-12.7283771,0.23491953,0.45587992,-0.1615613,-0.9611828,-0.2897748,-0.91192214,-0.48762172,0.1471991,-0.17893128,-0.5313491,-0.543874,-0.48517,-0.23241915,-0.688368,0.317773295,-0.111769237,-0.2944155,1.296247163,1.47466258,1.935932,0.89726524,0.854678886,0.285714286,14.928421,9.2536525,13.984898,3.86552884,2.743954467,2.211745,1.9474759,2.44123,3.81584516,1.965786151,,,0.55555556,0.27498597,0.984177613,0.94699121,0.686456783,21.7633187,,,,1.143635,,,4.12421391,,,,0.917222222,,,0.65789,0.6667,2.65184443,19.45414134,24.97569998,29.1495444,31.1996937,,,,0.125,0.5,0.9876543,5.932245187,6.83157589,5.4847364,1
CCOP(=O)(OCC)OCC,,,3196.31486,1446.298566,342.77448,11.15669,126.92359,78.1986359,71.292191,171.9114585,213.4885774,141.577938,7.917992667,7.39379467,1.558586,1.14237143,168.5584877,159.846294,4.55276553,1.666666667,0.17354615,1587.8921,-1784.54818,754.772272,16.63542299,-4.472937395,3.459349889,-7.144988,-18.1178486,2.993227376,15.7297585,-19.4577133,-4.3638582,11.62749763,-17.9272628,-18.7431385,4.9726942,0.2623425,-0.1526237,-0.3442759,61.7269313,47.1811579,-2.8448892,0.438618476,-0.24968917,0.76874442,-0.18322769,-0.6837951,-0.76395746,-0.4859399,-1.176779936,0.1152432,-0.7454,0.7835421,-0.52718192,0.11248577,0.175264943,-0.6226894,0.55272166,0.6553169,,0.9115362,0.76158599,0.367713519,2.592392277,1.6,3.97376221,5.86188561,3.58415,4.42666594,2.974655825,1.665771,0.931737413,1.763139441,3.3871793,1.57595853,,,,,1.1528968,0.9697994,0.61866518,16.7222926,,,,,,,,,0.417191358,1.77162886,0.3855241,,,0.9661,,1.89782359,23.32998259,23.89452969,33.424342,33.424342,,,,0.6,0.75,,5.361292166,7.272297,,1
C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,,,638.667449,5588.545463,497.893284,117.277656,124.141287,99.9488722,84.11556599,252.31182,29.5284991,196.96947,7.7424794,8.6663316,1.945294745,1.862641355,154.847529,148.2563926,2.91822457,3.39296729,0.955399,1737.13488,-14.262716,-95.637847,-682.387815,-1.826255923,-1.635421675,-2.618734325,-9.15355223,-15.77985747,22.48338297,16.54424346,-2.526954522,-25.79635817,-8.6161192,7.3791286,-6.6286669,0.1226486,0.1789858,-0.23,46.9495894,52.79898659,0.631771118,0.3935521,-0.17332559,-0.2725728,-0.41567212,-0.2292317,-0.72273824,0.11171292,-0.74919626,-0.116292291,0.145934472,-0.21544328,-0.77686644,-0.366442222,-0.69346563,-0.163735779,-0.183536341,-0.21551755,0.75268369,1.75722483,0.953818398,0.624713831,1.4552166,1.35,3.97376278,7.7672837,27.75615,4.4722288,3.578695184,1.92858833,1.822532,1.928835458,3.8375831,1.87542557,,,0.9622545,0.641778788,1.181146,0.968839428,0.7464135,32.81117319,,,,,,,2.345793616,,,,,,,0.79545,0.6818,1.784683288,19.4575224,27.64628374,52.6641797,55.5857639,,,,0.25,0.9375,0.431242,6.3444882,8.38429215,,1
COC(=O)C1=CC=C(C=C1)C(=O)OC,,,3439.976691,1814.73833,371.194296,13.1947439,11.1736576,84.51253816,88.245354,225.482654,264.6615996,229.97185,7.94257385,7.344713176,1.45449771,1.44461732,148.7339398,162.821663,4.914141414,2.51967843,0.4951131,95.4987458,-732.3637944,716.322333,519.828693,-1.379198361,3.286897587,-0.673817759,-6.44695893,19.78313427,-7.73941572,-11.653279,11.1151344,-13.3821934,-4.134259259,-53.384123,9.84452165,0.23172158,-0.321,-0.3792413,37.72911441,47.2718388,-0.88723829,0.22831759,-0.4699767,0.8649735,-0.153144,-0.1722682,0.16674859,-1.21319937,-0.819383818,0.289544753,-0.13868218,0.289383763,-0.469789888,0.1674323,0.378847316,-0.211882,0.389915362,0.17191316,1.333517,0.657319,0.61716889,0.5284378,2.2565684,1,15.99928758,8.458532863,16.687,3.863529744,2.68912545,1.954517777,1.14556336,1.95735525,3.4429814,1.886914,2,,0.27777778,0.1464431,1.31743142,1.98392,0.6637216,6.28892926,,,,,,,0.858392,,,1.32134511,,,,0.9195,,2.855388542,26.41978486,28.5877557,32.28284,31.67971,,,2.78897,0.285714286,0.75,0.617284,5.79657751,8.857462,,1
C1=CC(=CC(=C1)O)N,1,,1385.619951,117.468,179.867996,88.324816,87.9186832,78.2831318,51.31925744,214.559548,258.648916,167.572974,7.73387337,6.718464,1.446592956,1.62634915,159.217838,184.917652,3.388888889,1,,53.9331984,91.75627596,,-136.46127,-0.47991872,-0.97277563,-0.77883846,7.76166222,-8.3165886,4.68433952,3.798196891,,,-9.259259259,11.44444444,3.95617284,0.21876121,0.6751434,-0.1518462,35.39554656,49.32926297,52.98255761,0.223423167,0.5879117,-0.4421748,-0.324216,-0.617283951,-0.474747,0.476851852,-0.987654321,0.79123457,0.3862118,-0.125691691,0.226532449,0.3764846,-0.19797177,0.348326446,-0.25429379,0.438356164,,1.11584373,1.25582582,,0.7359589,0.392857143,15.99491666,7.45786996,6.992449,3.788993127,1.968555893,1.922873836,0.74313999,1.924384325,3.7845864,1.823695146,,,0.27777778,,1.6749211,0.97226144,0.662257525,12.16144599,,1,,1.262777778,8.616642284,,0.8925926,,,,,,,0.69697,0.125,2.7689596,21.33193114,28.26943783,15.3689572,15.3689572,,,,,0.5,,5.141663557,7.27184256,2.493824656,0
C1=CC=C(C=C1)C2=CC=C(C=C2)[N+](=O)[O-],1,,3425.52236,1985.135999,368.534844,12.185866,14.332571,89.8186649,68.514472,251.585513,292.73127,213.3363154,7.5341184,7.372194667,1.665196839,1.837489271,151.785935,158.87926,3.6623737,2.711111111,0.18698145,794.9366756,-283.8376249,243.8729562,-325.41859,-0.32339889,-1.25462238,-1.193455618,8.9838298,-7.611188499,-1.4469383,-1.84191715,-4.977254728,2.9722156,0.111111111,-12.22222222,5.333333333,0.4667766,-0.327,-0.118718,33.12236148,48.34387423,0.567948157,0.23677914,0.26966721,-0.32155442,-0.24863659,0.4444444,0.188888889,-0.25462963,-0.375,0.177777778,-0.69971481,-0.172589337,-0.144258553,0.11844599,-0.13939548,0.24272,-0.1344674,0.7191112,1.473421,1.59988354,1.79738737,0.99681888,1.6785868,0.642857143,16.168736,9.5526966,11.94863,3.973564896,2.75122135,2.8524446,1.822532,2.746596,3.758117762,2.59974972,,,0.59852793,0.253398114,1.1332248,0.98562915,0.71719437,7.3164265,,,,,,,2.16972853,,,,,,,0.82889,,2.124185416,21.56639285,32.945936,25.4725573,27.1395313,,,,0.125,0.6875,0.1733182,5.963579344,8.29435355,3.33672522,1
C1=CC(=CC=C1N)O,1,,1385.619951,268.547769,179.228672,88.324816,87.9186832,78.2831318,51.31925744,214.559548,258.648916,167.572974,7.73387337,9.73728,1.446592956,1.62634915,159.217838,189.3365613,2.694444444,5.333333333,,53.9331984,-13.111733,78.55559168,-136.46127,0.629731147,-0.97277563,-0.836656465,7.76166222,-8.3165886,3.85313752,3.128589311,1.519278756,,-9.259259259,-7.111111111,-9.185185185,0.21785285,-0.357948,0.1647699,35.39554656,49.32926297,-15.66521359,0.223423167,0.5879117,-0.4421748,-0.3486686,-0.617283951,-0.34526749,-0.296296296,1.299382716,-3.61728395,-0.16433944,-0.125691691,-0.11371562,-1.66297233,-0.19797177,0.348326446,-0.25429379,-1.69863137,,1.11584373,1.25582582,,1.12739726,0.392857143,15.9979433,7.39219778,6.992449,3.7882894,2.143482386,1.922823851,0.73746921,1.924379566,3.97742626,1.823739181,,,0.27777778,,1.6749211,0.97226144,0.662257525,2.521212369,,1,,1.262777778,,8.589938117,0.918518519,,,,,,,0.69697,0.125,2.7689596,21.33193114,25.6943783,17.39491235,18.4119267,,,,,0.25,,5.129898715,7.27184256,2.495163216,1
